mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009795951843261718,0.0005690125081156718,0.0053691864013671875,0.0004943235382972737,1,scale,"{'C': 1, 'gamma': 'scale'}",-5918.644680212011,-5909.256657911303,-4783.307738916245,-7236.777437001316,-8283.732069578242,-6426.343716723823,1210.9003981103133,9
0.007817268371582031,0.0017152116068983381,0.004400444030761719,0.0008664506091632816,1,auto,"{'C': 1, 'gamma': 'auto'}",-5925.794846955941,-5904.9661300017415,-4790.338919885351,-7230.910193913945,-8275.403606763366,-6425.482739504068,1205.4245261320045,8
0.009055042266845703,0.0004933415541054554,0.005251550674438476,0.00024830452464730837,1,0.01,"{'C': 1, 'gamma': 0.01}",-6713.242352727315,-6541.294702370361,-5592.22590463572,-8209.407520344928,-9302.228184568887,-7271.679732929442,1316.6882835043937,11
0.008817911148071289,0.0009174663777143862,0.0046939849853515625,9.400333922291392e-05,1,0.001,"{'C': 1, 'gamma': 0.001}",-7255.6644901485115,-7107.561062807172,-6134.481008434114,-8951.763443293134,-10082.906144207867,-7906.47522977816,1416.4223212078796,12
0.009094667434692384,0.0007439985737834304,0.006466817855834961,0.0035512780194036932,10,scale,"{'C': 10, 'gamma': 'scale'}",-2531.6579059969476,-2499.8131738370153,-1495.0684259845993,-2887.7258014822055,-3024.94521094621,-2487.8421036493955,535.9196629684745,5
0.008888673782348634,0.0007377350984816584,0.0046900749206542965,9.819657539897859e-05,10,auto,"{'C': 10, 'gamma': 'auto'}",-2532.650457734055,-2494.4541047449684,-1499.4937497808498,-2881.2610251776637,-3018.4809870827926,-2485.268064904066,532.0163380573051,4
0.008143424987792969,0.00028256675571350706,0.00468292236328125,0.00013014952061221903,10,0.01,"{'C': 10, 'gamma': 0.01}",-3648.9706406232067,-3212.357581032958,-2446.881871786143,-4035.7847031748283,-4505.38789366791,-3569.876538057009,705.328946941146,7
0.007898950576782226,9.198367995616934e-05,0.004714059829711914,0.0002064560847730736,10,0.001,"{'C': 10, 'gamma': 0.001}",-6611.463550109529,-6432.659986936142,-5496.367254526242,-8062.670534613772,-9154.795893293089,-7151.591443895755,1295.4737260288086,10
0.015545988082885742,0.0009546888748364479,0.004795598983764649,0.00030910442011648217,100,scale,"{'C': 100, 'gamma': 'scale'}",-1259.6137642846616,-1180.3113454139095,-924.0040539344672,-1579.6376096589572,-1350.1167258506318,-1258.7366998285256,214.25449949541556,2
0.014743900299072266,0.0008264197746929862,0.004701471328735352,0.000301384570317179,100,auto,"{'C': 100, 'gamma': 'auto'}",-1257.508334419246,-1178.9617871126914,-924.0884366773827,-1576.895987516329,-1348.972158206055,-1257.2853407863408,213.40676825524577,1
0.010137605667114257,0.0003490838630892683,0.004561090469360351,0.00015628119444612067,100,0.01,"{'C': 100, 'gamma': 0.01}",-1996.534992741726,-1664.095706584926,-1197.9200889162116,-1849.6060616488985,-1775.033866432894,-1696.6381432649312,271.7579443954873,3
0.00789327621459961,0.00010640227731280716,0.004785394668579102,0.00019087039185566065,100,0.001,"{'C': 100, 'gamma': 0.001}",-3386.0013087457014,-2932.950815374034,-2182.1985863950777,-3569.0940228762483,-4095.4332882382064,-3233.1356043258534,644.1075688793832,6
